capacity,c1_box_index,c2_box_index,c3_box_index,connection_type
1.3181286549707604e-10,0,6,5,0
1.5174193548387098e-10,0,6,6,0
1.9076335877862595e-10,0,6,7,0
1.872611464968153e-10,0,6,8,0
2.2530150753768845e-10,0,6,9,0
2.439301310043668e-10,0,6,10,0
2.8043076923076923e-10,0,6,11,0
2.672727272727273e-10,0,6,12,0
3.0314826113483833e-10,0,6,13,0
3.207272727272727e-10,0,6,14,0
3.38e-09,0,7,0,0
4.343457943925234e-11,0,7,1,0
6.473592571096925e-11,0,7,2,0
1.065329512893983e-10,0,7,3,0
9.145653425446174e-11,0,7,4,0
1.325866969869244e-10,0,7,5,0
1.5276836158192092e-10,0,7,6,0
1.9238839285714285e-10,0,7,7,0
1.8882681564245811e-10,0,7,8,0
2.2757174392935978e-10,0,7,9,0
2.4659352715304444e-10,0,7,10,0
2.839566395663957e-10,0,7,11,0
2.7047359825802945e-10,0,7,12,0
3.072727272727273e-10,0,7,13,0
3.2534759358288773e-10,0,7,14,0
4.4000000000000005e-09,0,8,0,0
4.356435643564357e-11,0,8,1,0
6.502463054187193e-11,0,8,2,0
1.0731707317073171e-10,0,8,3,0
9.203382287494439e-11,0,8,4,0
1.3380343763772589e-10,0,8,5,0
1.5438596491228074e-10,0,8,6,0
1.9496090356211992e-10,0,8,7,0
1.91304347826087e-10,0,8,8,0
2.3118001722652884e-10,0,8,9,0
2.508358336905272e-10,0,8,10,0
2.8959660297239915e-10,0,8,11,0
2.7558585428206226e-10,0,8,12,0
3.1388771633600675e-10,0,8,13,0
3.327731092436975e-10,0,8,14,0
4.840000000000001e-09,0,9,0,0
4.3603603603603615e-11,0,9,1,0
6.511210762331839e-11,0,9,2,0
1.0755555555555555e-10,0,9,3,0
9.220916092419944e-11,0,9,4,0
1.3417436721574931e-10,0,9,5,0
1.5488000000000004e-10,0,9,6,0
1.9574940523394134e-10,0,9,7,0
1.9206349206349212e-10,0,9,8,0
2.3228953579858374e-10,0,9,9,0
2.521425773599687e-10,0,9,10,0
2.9133980582524274e-10,0,9,11,0
2.7716400467471764e-10,0,9,12,0
3.159366550791812e-10,0,9,13,0
3.350769230769231e-10,0,9,14,0
5.34e-09,0,10,0,0
4.36404160475483e-11,0,10,1,0
6.519422863485017e-11,0,10,2,0
1.0777981651376148e-10,0,10,3,0
9.237394184762607e-11,0,10,4,0
1.3452354874041624e-10,0,10,5,0
1.5534545454545457e-10,0,10,6,0
1.964935064935065e-10,0,10,7,0
1.9277978339350185e-10,0,10,8,0
2.333381088825215e-10,0,10,9,0
2.533785230110596e-10,0,10,10,0
2.929911504424779e-10,0,10,11,0
2.786581469648563e-10,0,10,12,0
3.1787953504755197e-10,0,10,13,0
3.3726315789473683e-10,0,10,14,0
5.78e-09,0,11,0,0
4.3667582417582425e-11,0,11,1,0
6.525487512829285e-11,0,11,2,0
1.0794567062818338e-10,0,11,3,0
9.249574395641813e-11,0,11,4,0
1.347820209530247e-10,0,11,5,0
1.556902356902357e-10,0,11,6,0
1.9704545454545456e-10,0,11,7,0
1.933110367892977e-10,0,11,8,0
2.341168658698539e-10,0,11,9,0
2.542970559047304e-10,0,11,10,0
2.942200328407225e-10,0,11,11,0
2.7976950938426086e-10,0,11,12,0
3.193265773128473e-10,0,11,13,0
3.3889250814332246e-10,0,11,14,0
6.400000000000001e-09,0,12,0,0
4.369956548727499e-11,0,12,1,0
6.532632230126818e-11,0,12,2,0
1.0814132104454686e-10,0,12,3,0
9.263935940868496e-11,0,12,4,0
1.3508718262465587e-10,0,12,5,0
1.5609756097560977e-10,0,12,6,0
1.9769836462749847e-10,0,12,7,0
1.9393939393939398e-10,0,12,8,0
2.350391330523781e-10,0,12,9,0
2.553855385538554e-10,0,12,10,0
2.9567809239940387e-10,0,12,11,0
2.8108754108156565e-10,0,12,12,0
3.2104482042149006e-10,0,12,13,0
3.408284023668639e-10,0,12,14,0
6.84e-09,0,13,0,0
4.371876815804765e-11,0,13,1,0
6.536924413553432e-11,0,13,2,0
1.082589928057554e-10,0,13,3,0
9.272569945197578e-11,0,13,4,0
1.3527085124677558e-10,0,13,5,0
1.5634285714285716e-10,0,13,6,0
1.9809199318568994e-10,0,13,7,0
1.9431818181818183e-10,0,13,8,0
2.355957086391869e-10,0,13,9,0
2.5604278074866313e-10,0,13,10,0
2.965594405594406e-10,0,13,11,0
2.818839360807402e-10,0,13,12,0
3.220841460016718e-10,0,13,13,0
3.42e-10,0,13,14,0
7.340000000000001e-09,0,14,0,0
4.373781148429036e-11,0,14,1,0
6.541182824736701e-11,0,14,2,0
1.0837583892617452e-10,0,14,3,0
9.281140704869521e-11,0,14,4,0
1.3545332976731748e-10,0,14,5,0
1.5658666666666668e-10,0,14,6,0
1.9848356309650054e-10,0,14,7,0
1.9469496021220163e-10,0,14,8,0
2.3614978902953584e-10,0,14,9,0
2.5669734420194583e-10,0,14,10,0
2.9743790849673206e-10,0,14,11,0
2.826774954152476e-10,0,14,12,0
3.231206043240427e-10,0,14,13,0
3.4316883116883115e-10,0,14,14,0
7.780000000000001e-09,0,15,0,0
4.3752556237218823e-11,0,15,1,0
6.544481264338517e-11,0,15,2,0
1.0846641318124209e-10,0,15,3,0
9.287782575565152e-11,0,15,4,0
1.3559484718363224e-10,0,15,5,0
1.567758186397985e-10,0,15,6,0
1.987875751503006e-10,0,15,7,0
1.9498746867167922e-10,0,15,8,0
2.3658025922233297e-10,0,15,9,0
2.572060651255282e-10,0,15,10,0
2.9812113720642766e-10,0,15,11,0
2.8329452563784994e-10,0,15,12,0
3.239270756343927e-10,0,15,13,0
3.440786240786241e-10,0,15,14,0
9.400000000000001e-09,0,16,0,0
4.379500211774672e-11,0,16,1,0
6.553982674836257e-11,0,16,2,0
